"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Silent Voice API","0","Voice Transcription","0","2","Transcribe Audio - Negative TC","0"
"0","Silent Voice API","0","Authentication","0","2","Register Positive TC","0"
"0","Silent Voice API","1","Sign Language","0","0","","0"
"0","Silent Voice API","0","Voice Transcription","0","1","Delete Voice - Negative TC","0"
"0","Silent Voice API","0","Voice Transcription","0","1","Get Voice by ID - Positive TC","0"
"0","Silent Voice API","0","Voice Transcription","0","1","Transcribe Audio - Positive TC","0"
"0","Silent Voice API","0","Authentication","0","3","Register Negative TC","0"
"0","Silent Voice API","0","Authentication","0","2","Login Negative TC","0"
"0","Silent Voice API","0","Sign Language","0","1","Sign History - Positive TC","0"
"0","Silent Voice API","0","Voice Transcription","0","1","Delete Voice - Positive TC","0"
"0","Silent Voice API","1","Authentication","0","0","","0"
"0","Silent Voice API","0","Voice Transcription","0","1","Voice History - Positive TC","0"
"0","Silent Voice API","0","Sign Language","0","1","Get Sign by ID - Negative TC","0"
"0","Silent Voice API","0","Sign Language","0","1","Save Sign - Negative TC","0"
"0","Silent Voice API","0","Sign Language","0","1","Save Sign - Positive TC","0"
"0","Silent Voice API","0","Authentication","0","1","Login Positive TC","0"
"0","Silent Voice API","0","Sign Language","0","1","Sign History - Negative TC","0"
"0","Silent Voice API","1","Voice Transcription","0","0","","0"
"0","Silent Voice API","0","Voice Transcription","0","1","Get Audio File - Negative TC","0"
"0","Silent Voice API","0","Sign Language","0","1","Get Sign by ID - Positive TC","0"
"0","Silent Voice API","0","Authentication","0","1","Forgot Password Positive TC","0"
